,latitude,longitude,ahr,sp,ap,pits,pses,hos,ppsp,spfm,wsc,gre,cpp,경제,사회,양극화지수,양극화
괴산군,36.815381,127.786704,35.4,84.2,29,70.5,61.7,48,42.8,5.6,27.5,4.6,-101.8,49.5,19.9,34.7,0
금산군,36.108857,127.488213,38.3,77.4,20.5,14.2,28.2,63.8,-94.7,-21.8,17.4,-14.2,-41.8,45.4,-6.1,19.7,0
논산시,36.1872399,127.0986227,35.2,43.1,33.7,6,-14.9,71.7,53.5,24.7,14,-11.1,5.5,37.3,18.6,28,0
단양군,36.984539,128.365589,40.6,84.1,39.4,29.2,54.6,52.8,-89.3,58.6,22.4,-19.4,-129.1,54.7,-2.5,26.1,0
당진시,36.8899744,126.6459003,15.7,3,-36,-4.3,-37.4,49.6,59.4,4.3,11.2,43.9,-69.1,-5.8,7.2,0.7,1
대전광역시,36.3504396,127.3849508,17,-71.4,-72.6,-27.1,-44,0.8,21.9,-2.7,-3,-0.7,10.9,-42.3,-5.5,-23.9,1
보령시,36.333452,126.612803,28.8,42.7,14.6,35.9,21.1,31.5,88.2,28.3,11.1,2.9,47.3,28.7,33.3,31,0
보은군,36.489455,127.729485,45,86.1,40.6,55.5,36.5,-20.5,-210.2,59,45.2,-19.7,43.6,57.2,-1.3,28,0
부여군,36.275658,126.909775,43.8,72.3,21.7,40.6,61.2,98.4,11.8,49.9,14.3,-3.9,3.6,45.9,34.5,40.2,0
서산시,36.7849216,126.4502766,16.6,8.4,-0.8,-10.6,14.9,100,59.4,0.6,0.1,14.3,9.1,8.1,23.5,15.8,0
서천군,36.080286,126.6917418,43.1,77.7,37.9,22.1,82.3,0,63.6,56.7,13.6,-25.8,-387.3,52.9,-21.8,15.5,0
세종특별자치시,36.4803512,127.2894325,6.2,-56.1,-87.2,-16.6,-25.5,100,-64.2,10.1,0.2,25.2,-3.6,-45.7,3.2,-21.2,1
아산시,36.790013,127.002474,10.2,-85.9,15.4,-15.9,41.5,59.1,-11.2,-14.4,-0.5,16.8,-172.7,-20.1,-12.2,-16.1,1
영동군,36.175047,127.783423,37.3,100,32.1,46,42.7,81.9,-280.2,12.6,17.6,3.3,-14.5,56.5,-11.3,22.6,0
예산군,36.6808995,126.8447382,31.8,63.5,35.2,26.8,33.9,99.2,76.5,45.6,23.5,19.5,-116.4,43.5,26.1,34.8,0
옥천군,36.3064369,127.5714191,38.1,76.6,22.9,22.3,41.3,100,-238.5,31,8.8,-10.8,-114.5,45.9,-20.1,12.9,0
음성군,36.940282,127.690487,17.5,36.2,15.4,13.9,24.5,55.9,-142.2,-6.1,9.9,-21.8,-176.4,23,-30.3,-3.6,1
